BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,7,,A5,4732 AMBOY ROAD,,10312,1,0,1,"3,654",910,2002,1,A5,"764,000",6/30/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,4,,A1,26 EDWIN STREET,,10312,1,0,1,"7,654","2,277",1980,1,A1,"1,098,000",8/19/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,32,,A1,541 SYCAMORE STREET,,10312,1,0,1,"13,320","4,696",1985,1,A1,0,4/20/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5399,37,,A2,255 KOCH BOULEVARD,,10312,1,0,1,"8,190","1,528",1970,1,A2,"890,000",1/3/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401,5,,A2,28 JANSEN STREET,,10312,1,0,1,"10,800","2,164",1980,1,A2,0,12/9/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401,15,,A1,6 JANSEN STREET,,10312,1,0,1,"10,800","3,208",1980,1,A1,1,12/21/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,1,,A1,268 SHIRLEY AVENUE,,10312,1,0,1,"6,900",902,1920,1,A1,"555,000",11/1/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,36,,A1,107 NOEL STREET,,10312,1,0,1,"5,999","3,250",1989,1,A1,"1,050,000",8/31/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407,6,,A1,118 ELMBANK STREET,,10312,1,0,1,"6,200","2,580",1975,1,A1,"910,000",4/5/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5408,7,,A2,192 BATHGATE STREET,,10312,1,0,1,"2,500",768,1930,1,A2,"430,000",5/16/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,31,,A1,7 SANDGAP STREET,,10312,1,0,1,"2,500","1,222",1925,1,A1,0,5/23/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,63,,A5,26 SEGUINE PLACE,,10312,1,0,1,"2,266","1,320",1986,1,A5,"548,888",6/9/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,4,,A5,35 EAGAN AVENUE,,10312,1,0,1,"1,508","1,521",1986,1,A5,"600,000",7/22/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,23,,A5,3 EAGAN AVE,,10312,1,0,1,"1,508","1,521",1986,1,A5,0,9/19/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,34,,A5,100 SEGUINE PLACE,,10312,1,0,1,"1,550","1,521",1986,1,A5,"530,000",12/16/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,38,,A5,94 SEGUINE PLACE,,10312,1,0,1,"2,300","1,320",1986,1,A5,"565,000",5/24/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,164,,A6,89 JEANETTE AVENUE,,10312,1,0,1,"4,000",816,1960,1,A6,"685,000",4/13/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,170,,A1,79 JEANNETTE AVENUE,,10312,1,0,1,"3,999","1,152",1935,1,A1,"670,000",10/4/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,39,,A5,26 EAGAN AVENUE,,10312,1,0,1,"2,332","1,515",1992,1,A5,"640,000",7/22/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,10,,A5,53 BARB STREET,,10312,1,0,1,"1,585","1,339",2004,1,A5,"675,000",9/1/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,40,,A5,30 LORRAIN AVENUE,,10312,1,0,1,"5,404","1,344",2002,1,A5,"602,000",11/8/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,63,,A5,40 ENDVIEW STREET,,10312,1,0,1,"1,648","1,344",2003,1,A5,"660,000",7/6/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,6,,A5,998 ARDEN AVENUE,,10312,1,0,1,"3,876","1,400",2005,1,A5,"698,000",3/23/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6222,54,,A1,11 LORRAINE AVENUE,,10312,1,0,1,"8,000","4,011",2000,1,A1,0,9/14/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6227,4,,A2,105 JEFFERSON BOULEVARD,,10312,1,0,1,"6,732","1,561",1965,1,A2,"850,000",12/22/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6227,60,,A1,924 CARLTON BOULEVARD,,10312,1,0,1,"4,000","1,613",1910,1,A1,"990,000",5/17/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228,47,,A1,760 ARDEN AVENUE,,10312,1,0,1,"6,000","1,146",1925,1,A1,"635,000",5/2/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228,67,,A1,159 DETROIT AVENUE,,10312,1,0,1,"3,999","1,584",1940,1,A1,0,7/22/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6229,27,,A2,149 EDGEGROVE AVENUE,,10312,1,0,1,"16,000",864,1915,1,A2,"800,000",3/1/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230,37,,A1,624 DRUMGOOLE ROAD EAST,,10312,1,0,1,"8,000","2,268",1930,1,A1,"933,500",9/15/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230,41,,A2,614 DRUMGOOLE ROAD E,,10312,1,0,1,"8,000","1,379",1960,1,A2,"650,000",8/8/2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6232,74,,A2,998 DRUMGOOLE ROAD WEST,,10312,1,0,1,"3,600",984,1960,1,A2,"450,000",2/16/2022
